AFFX-BioDn-3_at	2	2	2	2	2	2	2	2.51054501	2	2	2	2.611723308	2	2	2	2	2	2	2.383815366	2.372912003	2	2	2	2	2	2.298853076	2	2	2.198657087	2	2	2.117271296	2	2	2.515873844	2	2	2	2	2	2.357934847	2	2	2	2.5132176	2	2	2	2	2	2	2.622214023	2	2.564666064	2	2	2	2.850646235	2	2	2	2	2	2	2	2	2.149219113	2	2	2.557507202	2.235528447	2.553883027
AFFX-BioB-5_st	2	2.392696953	2	2.553883027	2.748962861	2	2.719331287	2.222716471	2	2.245512668	2.506505032	2.44870632	2	2.487138375	2	2	2	2.403120521	2.252853031	2.307496038	2	2	2	2.195899652	2	2.31386722	2	2	2	2.401400541	2.285557309	2	2	2.704150517	2.26245109	2.544068044	2	2.361727836	2.053078443	2	2	2.238046103	2	2	2.671172843	2	2	2	2	2	2	2.544068044	2	2.209515015	2.698970004	2	2.201397124	2	2	2	2	2	2	2.505149978	2.173186268	2.532754379	2.943494516	2	2.318063335	2.017033339	2.195899652	2.167317335
AFFX-HUMISGF3A/M97935_MA_at	2	2	2.334453751	3.109578547	2.315970345	2	2	2	2	2	3.301680949	2	2	2	2.113943352	2.212187604	2	2	2	2	2	2	2	2	2	2	2	2.017033339	2	2	2	2	2	2	2	2	2	2	2	2.773786445	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2.127104798	2	2	2	2	2.783188691	2	2	2	2
AFFX-HUMISGF3A/M97935_MB_at	2.260071388	2	2.356025857	2.908485019	2.414973348	2.120573931	2	2.130333768	2	2.089905111	3.239299479	2	2.542825427	2.158362492	2.220108088	2.322219295	2	2.334453751	2	2	2	2	2.26245109	2	2.053078443	2.33243846	2.064457989	2.677606953	2.190331698	2.086359831	2.245512668	2	2.409933123	2.220108088	2.190331698	2	2	2.305351369	2.267171728	2.889861721	2.056904851	2.423245874	2	2.100370545	2.651278014	2	2	2	2.167317335	2.281033367	2	2	2.130333768	2	2.28780173	2.307496038	2	2	2	2	2.100370545	2	2.238046103	2.164352856	2.133538908	2	2.267171728	2.764922985	2.36361198	2	2	2
AFFX-HUMISGF3A/M97935_3_at	2.5774918	2.57054294	2.858537198	3.139249218	2.857332496	2.810904281	2.305351369	2.626340367	2.469822016	2.725911632	3.601516784	2.403120521	2.897077003	2.489958479	2.670245853	2.87909588	2.499687083	2.758911892	2.57634135	2.547774705	2.421603927	2.485721426	2.81756537	2.678518379	3.118264726	2.901458321	2.636487896	3.168497484	2.618048097	2.683947131	2.614897216	2.583198774	2.763427994	2.876217841	2.782472624	2.424881637	2.181843588	2.890979597	3.173186268	3.225309282	2.798650645	2.907948522	2.719331287	2.568201724	3.450557009	2.606381365	2.184691431	2.773786445	2.818885415	2.876794976	2.694605199	2.701567985	2.426511261	2.571708832	2.725911632	3.16613397	2.812913357	2.814247596	2.217483944	2.519827994	2.506505032	2.532754379	2.499687083	2.456366033	2.745074792	2.50242712	2.84135947	3.179551791	2.982723388	2.136720567	2.815577748	2.204119983
AFFX-HUMRGE/M10098_5_at	2.702430536	3.336659823	2.763427994	3.339053736	2.913283902	3.027349608	2.645422269	2	3.956264503	3.715919817	3.098643726	2	3.144885418	3.281941933	2	2	2	2	2	2	2.017033339	2.755112266	3.575418791	2	2	4.162504665	2.788875116	3.753506457	3.685741739	3.108565024	3.617838748	4.204119983	3.594834356	4.114110357	2	2.898176483	3.919025765	2	2.959994838	3.832508913	2	2	2.920123326	2	2	2	4.204119983	4.204119983	2	3.695306522	2	3.900530982	2	2	2	2	3.162265614	4.01321654	2.017033339	2.487138375	2.348304863	2	2.463892989	3.923140356	2	2	2	2	2.025305865	2	2	2
AFFX-HUMRGE/M10098_M_at	2	3.243534102	2.113943352	3.193958978	2.710117365	2.697229343	2	2	3.585686278	3.271609301	2	2	2.850033258	2.324282455	2	2	2	2	2	2	2	2.679427897	3.335257256	2	2	3.98846977	2.06069784	3.514813295	3.360404055	3.4363217	3.438225808	4.042614885	3.189770956	3.86165387	2	2.086359831	3.623662707	2	2.765668555	3.841734779	2	2	2.969881644	2	2	2	4.126456113	4.204119983	2	3.425860145	2	3.602494069	2	2	2	2	2.800717078	3.780173244	2	2	2	2	2	3.62797999	2	2	2	2	2	2	2	2
AFFX-HUMRGE/M10098_3_at	2.056904851	2.95616843	2	2.939519253	3.287353773	3.309417226	2	2	3.45591024	3.135132651	2.477121255	2	3.040997692	2.691965103	2	2	2	2	2	2	2.079181246	2.113943352	3.031812271	2	2	3.930898114	3.181271772	3.564429327	3.409764104	2.499687083	3.380934463	4.204119983	3.113609151	4.144231618	2	3.191171456	3.728434951	2	3.282395505	3.437750563	2	2	2.436162647	2	2	2	4.003072596	3.769746467	2	3.633165354	2	3.412292509	2	2	2	2	2.558708571	3.580468784	2	2	2.404833717	2	2.514547753	3.834611421	2	2	2	2	2	2	2	2
AFFX-HUMGAPDH/M33197_5_at	4.204119983	4.029180789	4.204119983	4.204119983	4.204119983	4.204119983	4.167494562	4.204119983	4.204119983	4.190219608	4.204119983	4.204119983	4.204119983	4.204119983	4.204119983	4.059070913	4.184038079	4.090610708	4.178401342	4.148633498	4.010511963	3.825231323	4.07754958	3.9240207	3.83777777	4.178286129	4.204119983	4.204119983	4.173768823	4.16592655	4.204119983	4.064645145	3.912965621	4.204119983	4.204119983	4.204119983	4.204119983	4.043951418	4.204119983	4.204119983	4.034026524	4.204119983	4.204119983	4.096979495	4.103837916	2.274157849	4.140853581	4.204119983	4.054191577	4.204119983	3.811575006	3.991447598	3.802020752	4.031650794	4.188619167	3.889861721	4.165541077	4.004020273	4.007363654	4.096527666	4.204119983	4.204119983	4.204119983	4.071034675	3.801540906	3.884285462	4.204119983	4.204119983	4.048053173	4.100163689	3.942999593	3.993876915
AFFX-HUMGAPDH/M33197_M_at	4.141794564	3.851441815	4.204119983	4.177276711	4.177045657	4.095273988	4.204119983	4.1532049	4.194403326	4.08228259	4.134081437	4.195678299	4.15430222	4.204119983	4.146345129	4.19578899	4.204119983	4.175192788	4.204119983	4.169204037	4.175163774	3.982949289	4.068519806	3.733036683	3.987576895	4.046339056	4.132515835	4.204119983	4.05838806	4.176958981	4.204119983	4.083681747	3.62065648	4.191618663	4.204119983	4.204119983	4.204119983	4.026533265	4.067294086	4.149527014	4.114510905	4.11417714	4.204119983	4.150172896	4.024977972	2	4.051923916	4.204119983	4.012795058	4.203304916	3.923244019	3.864926192	3.715919817	4.008898115	4.156700553	3.981456167	4.028367884	4.00548081	4.204119983	4.204119983	4.204119983	4.17023237	4.204119983	4.114310677	3.771219902	3.913230871	4.193152437	4.142514605	4.134304635	4.159176032	3.900694774	4.091772441
